,,,,,,,,,Характеристики (для характеристик та порівняння),,,,,,Фільтри для категорії 1:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Загальна інформація,,,,,,,,,,,,,,,Загальні,,Кавун,Баклажан,Горох овочевий,Диня,Кабачок,Патиссон,Капуста білоголова,Капуста броколі,Капуста брюсельська,Капуста червоноголова,Капуста пекінська,Капуста савойська, Капуста цвітна,Кукурудза цукрова,Цибуля,,Морква,, Огірок,Перець гострий,Перець солодкий,,Пряні та зелені культури,Селера, Редиска,Редька,Салат,,Буряк столовий,,Томати,,,Гарбуз,Квасоля
Код товару,Категорія 1,Найменування,Фото (ссилка(и)),Опис 1,Опис 2,Вміст пакету,ціна 1,ціна 2,Термін вегетації (дні),Маса плоду,РозмІр плоду,Норма висіву,Кількість насінин в 1 г,Урожайність ,Виробник,Фасовка,,Форма плоду,,Сортотип,Колір плоду,Колір плоду,Термін дозрівання,,,,,,Термін дозрівання,,Тип,Колір,Сортотип,Термін дозрівання,Тип,,Форма плоду,Забарвлення,,Тип,Форма плоду,,Тип,Забарвлення листя,Форма коренеплоду,Термін дозрівання,Вид рослини,Тип плоду,Колір,,Тип
,Кавун,АУ Продюсер,f7647d83f8e5f8cd1282fc0b3f3abfcc,2494fbf704feba0864b3a8de7400763a,"Надзвичайно врожайний сорт кавуна типу покращений Кримсон світ. Вегетаційний період 75-85 днів. Плоди овальної форми, масою 8-12 кг. М'якоть яскраво-червона в високими смаковими якостями (вміст цукру більше 12 %). Сорт стійкий до фуза¬ріозного в'янення, несправжньої борошнистої роси, стеблевої гнилі. Відмінно зберігається і транспортується.",1 г,"5,00",,75-85 дн.,8-12 кг,,1-2 кг/га,6-25 шт,,United Genetics,Міні пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,АУ Продюсер,f7647d83f8e5f8cd1282fc0b3f3abfcc,2494fbf704feba0864b3a8de7400763a,"Надзвичайно врожайний сорт кавуна типу покращений Кримсон світ. Вегетаційний період 75-85 днів. Плоди овальної форми, масою 8-12 кг. М'якоть яскраво-червона в високими смаковими якостями (вміст цукру більше 12 %). Сорт стійкий до фуза¬ріозного в'янення, несправжньої борошнистої роси, стеблевої гнилі. Відмінно зберігається і транспортується.",500 г ,"595,00",,75-85 дн.,8-12 кг,,1-2 кг/га,6-25 шт,,United Genetics,Фермерський пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,АУ Продюсер,f7647d83f8e5f8cd1282fc0b3f3abfcc,2494fbf704feba0864b3a8de7400763a,"Надзвичайно врожайний сорт кавуна типу покращений Кримсон світ. Вегетаційний період 75-85 днів. Плоди овальної форми, масою 8-12 кг. М'якоть яскраво-червона в високими смаковими якостями (вміст цукру більше 12 %). Сорт стійкий до фуза¬ріозного в'янення, несправжньої борошнистої роси, стеблевої гнилі. Відмінно зберігається і транспортується.",10 кг ,"10853,00",,75-85 дн.,8-12 кг,,1-2 кг/га,6-25 шт,,United Genetics,Фермерський пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,Вікторія F1,,,,8 шт,"17,00",,55-60 дн.,5-8 кг,,10-20 000 шт/га,6-25 шт,,Nunhems Zaden,Міні пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,Вікторія F1,,,,1 000 шт,"829,00",,55-60 дн.,5-8 кг,,10-20 000 шт/га,6-25 шт,,Nunhems Zaden,Фермерський пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,Думара F1,,,"Середньостиглий гібрид з овально- подовженими смугастими плодами масою 12—16 кг. М'якоть хрустка, червона, високий вміст цукру і ніжна структура м'якоті забезпечують відмінні смакові якості, що є «маркою» цього гібрида. Насіння дуже дрібне. Висока і стабільна продуктивність, хороша транспортабельність.",8 шт,"14,00",,72-78 дн.,12-16 кг,,10-20 000 шт/га,6-25 шт,,Nunhems Zaden,Міні пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Кавун,Думара F1,,,"Середньостиглий гібрид з овально- подовженими смугастими плодами масою 12—16 кг. М'якоть хрустка, червона, високий вміст цукру і ніжна структура м'якоті забезпечують відмінні смакові якості, що є «маркою» цього гібрида. Насіння дуже дрібне. Висока і стабільна продуктивність, хороша транспортабельність.",1 000 шт,"672,00",,72-88 дн.,12-16 кг,,10-20 000 шт/га,6-25 шт,,Nunhems Zaden,Фермерський пакет,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
